round,scenario,container,role,cpu_ms,cpu_ms_per_request,throttled_periods_percent,throttled_ms
round_06,scenario_5_k8s_baseline,service-a-79689f88cb-swt6v/service-a,checkout_app,119589.056,2.547808939452043,99.91694352159469,158074.142
round_06,scenario_5_k8s_baseline,service-b-b9d464c6d-ng5cm/service-b,inventory_app,40759.115,0.8683607098725978,0.0,0.0
round_06,scenario_5_mesh,service-a-566b9cc9dc-prbm4/istio-proxy,checkout_sidecar,18427.346,0.8582834653004192,0.0,0.0
round_06,scenario_5_mesh,service-a-566b9cc9dc-prbm4/service-a,checkout_app,120062.602,5.592110013972985,99.91694352159469,284901.713
round_06,scenario_5_mesh,service-b-b9d464c6d-gjbwk/istio-proxy,inventory_sidecar,12584.932,0.5861635770843037,0.0,0.0
round_06,scenario_5_mesh,service-b-b9d464c6d-gjbwk/service-b,inventory_app,20034.97,0.9331611551001397,0.0,0.0
round_07,scenario_1,scenario_1-service_a-1,checkout_app,119714.967,2.528405993917378,100.0,274613.423
round_07,scenario_1,scenario_1-service_b-1,inventory_app,53919.604,1.1387936977274646,12.55195344970906,7629.372
round_07,scenario_2,scenario_2-service_a-1,checkout_app,119997.641,5.393879669168877,100.0,293148.997
round_07,scenario_2,scenario_2-service_b-1,inventory_app,35613.799,1.6008360228345395,8.970099667774086,1902.159
round_07,scenario_3,scenario_3-service_a-1,checkout_app,119990.767,2.717674556079,100.0,299956.497
round_07,scenario_3,scenario_3-service_b-1,inventory_app,45428.812,1.0289185540858852,3.3250207813798838,1490.883
round_07,scenario_4,scenario_4-service_a-1,checkout_app,120001.303,5.609372364792222,100.0,293005.36
round_07,scenario_4,scenario_4-service_b-1,inventory_app,29559.723,1.381747440751648,1.8272425249169435,347.036
round_07,scenario_5_k8s_baseline,service-a-79689f88cb-hnf48/service-a,checkout_app,119516.789,2.534981844019768,99.833748960931,147648.158
round_07,scenario_5_k8s_baseline,service-b-b9d464c6d-nghqn/service-b,inventory_app,41136.696,0.8725199058264578,0.0,0.0
round_07,scenario_5_mesh,service-a-566b9cc9dc-z24jk/istio-proxy,checkout_sidecar,18375.267,0.8147593224848135,0.0,0.0
